catalogNumber,genus,specificEpithet,eventDate,country,stateProvince,county,species,commonName
AUGIEENTB0000313,Propylea,quatuordecimpunctata,2021-08-04,United States,Illinois,Rock Island,Propylea quatuordecimpunctata,Fourteen-spotted Ladybug
AUGIEENTB0000314,Psyllobora,vigintimaculata,2021-08-04,United States,Illinois,Rock Island,Psyllobora vigintimaculata,Twenty-spotted Lady Beetle
AUGIEENTB0000315,Cycloneda,munda,2021-08-04,United States,Illinois,Rock Island,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000316,Cycloneda,munda,2021-08-04,United States,Illinois,Rock Island,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000318,Harmonia,axyridis,2021-08-05,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000319,Harmonia,axyridis,2021-08-05,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000320,Cycloneda,munda,2021-08-05,United States,Illinois,Rock Island,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000321,Cycloneda,munda,2021-08-05,United States,Illinois,Rock Island,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000322,Cycloneda,munda,2021-08-05,United States,Illinois,Rock Island,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000323,Cycloneda,munda,2021-08-05,United States,Illinois,Rock Island,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000324,Cycloneda,munda,2021-08-05,United States,Illinois,Rock Island,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000325,Harmonia,axyridis,2021-08-05,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000326,NA,NA,2021-08-05,United States,Illinois,Rock Island,Na na,Unknown
AUGIEENTB0000327,Harmonia,axyridis,2021-08-05,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000328,Harmonia,axyridis,2021-08-05,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000329,Harmonia,axyridis,2021-08-05,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000330,Harmonia,axyridis,2021-08-05,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000331,Harmonia,axyridis,2021-08-05,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000332,Harmonia,axyridis,2021-08-05,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000333,Harmonia,axyridis,2021-08-05,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000344,Coleomegilla,maculata,2021-08-04,United States,Illinois,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000334,Harmonia,axyridis,2021-08-05,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000345,Harmonia,axyridis,2021-08-04,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000335,Harmonia,axyridis,2021-08-05,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000346,Harmonia,axyridis,2021-08-04,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000336,Harmonia,axyridis,2021-08-05,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000347,Harmonia,axyridis,2021-08-04,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000337,Cycloneda,munda,2021-08-05,United States,Illinois,Rock Island,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000348,Harmonia,axyridis,2021-08-04,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000338,Harmonia,axyridis,2021-08-05,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000339,Harmonia,axyridis,2021-08-05,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000349,Propylea,quatuordecimpunctata,2021-08-04,United States,Illinois,Rock Island,Propylea quatuordecimpunctata,Fourteen-spotted Ladybug
AUGIEENTB0000340,Harmonia,axyridis,2021-08-05,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000350,Propylea,quatuordecimpunctata,2021-08-04,United States,Illinois,Rock Island,Propylea quatuordecimpunctata,Fourteen-spotted Ladybug
AUGIEENTB0000341,Hippodamia,convergens,2021-08-05,United States,Illinois,Rock Island,Hippodamia convergens,Convergent Lady Beetle
AUGIEENTB0000342,Harmonia,axyridis,2021-08-05,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000343,Harmonia,axyridis,2021-08-05,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000351,Harmonia,axyridis,2021-08-05,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000352,Hippodamia,convergens,2021-08-05,United States,Illinois,Rock Island,Hippodamia convergens,Convergent Lady Beetle
AUGIEENTB0000353,Harmonia,axyridis,2021-08-05,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000354,Harmonia,axyridis,2021-08-05,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000355,Harmonia,axyridis,2021-08-05,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000356,Harmonia,axyridis,2021-08-05,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000357,Harmonia,axyridis,2021-08-05,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000358,Harmonia,axyridis,2021-08-05,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000359,Harmonia,axyridis,2021-08-05,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000360,Coccinella,septempunctata,2021-08-05,United States,Illinois,Rock Island,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTB0000361,Coccinella,septempunctata,2021-08-05,United States,Illinois,Rock Island,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTB0000362,Hippodamia,convergens,2021-08-05,United States,Illinois,Rock Island,Hippodamia convergens,Convergent Lady Beetle
AUGIEENTB0000363,Hippodamia,parenthesis,2021-08-05,United States,Illinois,Rock Island,Hippodamia parenthesis,Parentheses Lady Beetle
AUGIEENTB0000234,Coleomegilla,maculata,2021-07-20,United States,Illinois,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000002,Coleomegilla,maculata,2021-06-23,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000230,Hippodamia,variegata,2021-07-21,United States,Illinois,Rock Island,Hippodamia variegata,Adonis Ladybird
AUGIEENTB0000365,Cycloneda,munda,2021-08-05,United States,Illinois,Rock Island,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000364,Coleomegilla,maculata,2021-08-05,United States,Illinois,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000367,NA,NA,2021-08-05,United States,Illinois,Rock Island,Na na,Unknown
AUGIEENTB0000368,NA,NA,2021-08-05,United States,Illinois,Rock Island,Na na,Unknown
AUGIEENTB0000369,NA,NA,2021-08-05,United States,Illinois,Rock Island,Na na,Unknown
AUGIEENTB0000370,NA,NA,2021-08-05,United States,Illinois,Rock Island,Na na,Unknown
AUGIEENTB0000366,NA,NA,2021-08-05,United States,Illinois,Rock Island,Na na,Unknown
AUGIEENTB0000374,NA,NA,2021-08-05,United States,Illinois,Rock Island,Na na,Unknown
AUGIEENTB0000372,Coleomegilla,maculata,2021-08-05,United States,Illinois,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000373,NA,NA,2021-08-05,United States,Illinois,Rock Island,Na na,Unknown
AUGIEENTB0000371,NA,NA,2021-08-05,United States,Illinois,Rock Island,Na na,Unknown
AUGIEENTB0000375,NA,NA,2021-08-05,United States,Illinois,Rock Island,Na na,Unknown
AUGIEENTB0000376,Coccinella,septempunctata,2021-08-17,United States,Iowa,Scott,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTB0000377,Coccinella,septempunctata,2021-08-17,United States,Iowa,Scott,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTB0000378,Harmonia,axyridis,2021-08-17,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000379,Hippodamia,parenthesis,2021-08-17,United States,Iowa,Scott,Hippodamia parenthesis,Parentheses Lady Beetle
AUGIEENTB0000380,Propylea,quatuordecimpunctata,2021-08-17,United States,Iowa,Scott,Propylea quatuordecimpunctata,Fourteen-spotted Ladybug
AUGIEENTB0000381,Propylea,quatuordecimpunctata,2021-08-17,United States,Iowa,Scott,Propylea quatuordecimpunctata,Fourteen-spotted Ladybug
AUGIEENTB0000382,Cycloneda,munda,2021-08-17,United States,Iowa,Scott,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000383,Cycloneda,munda,2021-08-17,United States,Iowa,Scott,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000384,Cycloneda,munda,2021-08-17,United States,Iowa,Scott,Cycloneda munda,Polished Lady Beetle
NA,NA,NA,2021-08-17,United States,Iowa,Scott,Na na,Unknown
AUGIEENTB0000385,Coleomegilla,maculata,2021-08-17,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000386,Propylea,quatuordecimpunctata,2021-08-17,United States,Iowa,Scott,Propylea quatuordecimpunctata,Fourteen-spotted Ladybug
AUGIEENTB0000387,Cycloneda,munda,2021-08-17,United States,Iowa,Scott,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000388,Psyllobora,vigintimaculata,2021-08-17,United States,Iowa,Scott,Psyllobora vigintimaculata,Twenty-spotted Lady Beetle
AUGIEENTB0000389,Psyllobora,vigintimaculata,2021-08-17,United States,Iowa,Scott,Psyllobora vigintimaculata,Twenty-spotted Lady Beetle
AUGIEENTB0000390,Hippodamia,convergens,2021-08-17,United States,Iowa,Scott,Hippodamia convergens,Convergent Lady Beetle
AUGIEENTB0000391,Coleomegilla,maculata,2021-08-17,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000392,Brachiacantha,ursina,2021-08-17,United States,Iowa,Scott,Brachiacantha ursina,Ursine Spurleg Lady Beetle
AUGIEENTB0000393,Brachiacantha,ursina,2021-08-17,United States,Iowa,Scott,Brachiacantha ursina,Ursine Spurleg Lady Beetle
AUGIEENTB0000394,Brachiacantha,ursina,2021-08-17,United States,Iowa,Scott,Brachiacantha ursina,Ursine Spurleg Lady Beetle
AUGIEENTB0000395,Brachiacantha,ursina,2021-08-17,United States,Iowa,Scott,Brachiacantha ursina,Ursine Spurleg Lady Beetle
AUGIEENTB0000396,Harmonia,axyridis,2021-08-17,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000397,Harmonia,axyridis,2021-08-17,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000398,Harmonia,axyridis,2021-08-17,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000399,Harmonia,axyridis,2021-08-17,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000400,Harmonia,axyridis,2021-08-17,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000401,Harmonia,axyridis,2021-08-17,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000402,Harmonia,axyridis,2021-08-17,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000403,Harmonia,axyridis,2021-08-17,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000404,NA,NA,2021-08-17,United States,Iowa,Scott,Na na,Unknown
AUGIEENTB0000405,Harmonia,axyridis,2021-08-17,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000406,Harmonia,axyridis,2021-08-17,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000407,Harmonia,axyridis,2021-08-17,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000408,Harmonia,axyridis,2021-08-17,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000409,Harmonia,axyridis,2021-08-17,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000410,Harmonia,axyridis,2021-08-17,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000411,Harmonia,axyridis,2021-08-17,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000412,Harmonia,axyridis,2021-08-17,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000413,Harmonia,axyridis,2021-08-17,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000414,Harmonia,axyridis,2021-08-17,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000415,Psyllobora,vigintimaculata,2021-08-17,United States,Iowa,Scott,Psyllobora vigintimaculata,Twenty-spotted Lady Beetle
AUGIEENTB0000416,Harmonia,axyridis,2021-08-17,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000417,Harmonia,axyridis,2021-08-17,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000418,Harmonia,axyridis,2021-08-17,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000419,Harmonia,axyridis,2021-08-17,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000420,Harmonia,axyridis,2021-08-17,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000421,Harmonia,axyridis,2021-08-17,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000422,Harmonia,axyridis,2021-08-17,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000423,Cycloneda,munda,2021-08-17,United States,Iowa,Scott,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000424,Coleomegilla,maculata,2021-08-17,United States,Iowa,Scott,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000425,Coccinella,septempunctata,2021-08-17,United States,Iowa,Scott,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTB0000426,Harmonia,axyridis,2021-08-17,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000427,Harmonia,axyridis,2021-08-17,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000428,Coccinella,septempunctata,2021-08-17,United States,Iowa,Scott,Coccinella septempunctata,Seven-Spot Ladybird
AUGIEENTB0000429,Cycloneda,munda,2021-08-17,United States,Iowa,Scott,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000430,Harmonia,axyridis,2021-08-17,United States,Iowa,Scott,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000431,Cycloneda,munda,2021-08-17,United States,Iowa,Scott,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000432,Cycloneda,munda,2021-08-17,United States,Iowa,Scott,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000433,Harmonia,axyridis,2021-08-18,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000434,Hippodamia,parenthesis,2021-08-18,United States,Illinois,Rock Island,Hippodamia parenthesis,Parentheses Lady Beetle
AUGIEENTB0000435,Harmonia,axyridis,2021-08-18,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000441,Coleomegilla,maculata,2021-08-18,United States,Illinois,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000442,Psyllobora,vigintimaculata,2021-08-18,United States,Illinois,Rock Island,Psyllobora vigintimaculata,Twenty-spotted Lady Beetle
AUGIEENTB0000436,Harmonia,axyridis,2021-08-18,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000437,Coleomegilla,maculata,2021-08-18,United States,Illinois,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000438,Harmonia,axyridis,2021-08-18,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000439,Harmonia,axyridis,2021-08-18,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000440,Coleomegilla,maculata,2021-08-18,United States,Illinois,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000443,Cycloneda,munda,2021-08-18,United States,Illinois,Rock Island,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000444,Harmonia,axyridis,2021-08-18,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000445,Coleomegilla,maculata,2021-08-18,United States,Illinois,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000447,Psyllobora,vigintimaculata,2021-08-18,United States,Illinois,Rock Island,Psyllobora vigintimaculata,Twenty-spotted Lady Beetle
AUGIEENTB0000448,Cycloneda,munda,2021-08-18,United States,Illinois,Rock Island,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000449,Psyllobora,vigintimaculata,2021-08-18,United States,Illinois,Rock Island,Psyllobora vigintimaculata,Twenty-spotted Lady Beetle
AUGIEENTB0000450,Harmonia,axyridis,2021-08-18,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000451,Harmonia,axyridis,2021-08-18,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000455,Hyperaspis,undulata,2021-08-18,United States,Illinois,Rock Island,Hyperaspis undulata,Undulate Lady Beetle
AUGIEENTB0000452,Harmonia,axyridis,2021-08-18,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
AUGIEENTB0000453,Cycloneda,munda,2021-08-18,United States,Illinois,Rock Island,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000454,Propylea,quatuordecimpunctata,2021-08-18,United States,Illinois,Rock Island,Propylea quatuordecimpunctata,Fourteen-spotted Ladybug
AUGIEENTB0000501,Cycloneda,munda,2021-08-18,United States,Illinois,Rock Island,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000502,Psyllobora,vigintimaculata,2021-08-18,United States,Illinois,Rock Island,Psyllobora vigintimaculata,Twenty-spotted Lady Beetle
AUGIEENTB0000503,Psyllobora,vigintimaculata,2021-08-18,United States,Illinois,Rock Island,Psyllobora vigintimaculata,Twenty-spotted Lady Beetle
AUGIEENTB0000504,Psyllobora,vigintimaculata,2021-08-18,United States,Illinois,Rock Island,Psyllobora vigintimaculata,Twenty-spotted Lady Beetle
AUGIEENTB0000505,Coleomegilla,maculata,2021-08-18,United States,Illinois,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTB0000506,Psyllobora,vigintimaculata,2021-08-18,United States,Illinois,Rock Island,Psyllobora vigintimaculata,Twenty-spotted Lady Beetle
AUGIEENTB0000507,Cycloneda,munda,2021-08-18,United States,Illinois,Rock Island,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000508,Cycloneda,munda,2021-08-18,United States,Illinois,Rock Island,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000509,Cycloneda,munda,2021-08-18,United States,Illinois,Rock Island,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000510,Cycloneda,munda,2021-08-18,United States,Illinois,Rock Island,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000511,Cycloneda,munda,2021-08-18,United States,Illinois,Rock Island,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000512,Psyllobora,vigintimaculata,2021-08-18,United States,Illinois,Rock Island,Psyllobora vigintimaculata,Twenty-spotted Lady Beetle
AUGIEENTB0000513,Psyllobora,vigintimaculata,2021-08-18,United States,Illinois,Rock Island,Psyllobora vigintimaculata,Twenty-spotted Lady Beetle
AUGIEENTB0000514,Cycloneda,munda,2021-08-18,United States,Illinois,Rock Island,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000515,Cycloneda,munda,2021-08-18,United States,Illinois,Rock Island,Cycloneda munda,Polished Lady Beetle
AUGIEENTB0000517,Harmonia,axyridis,2021-08-19,United States,Illinois,Rock Island,Harmonia axyridis,Asain Lady Beetle
