catalogNumber,Species,coordinates,plotType
AUGIEENTB0000371,NA,41.476034-90.557711,LP-GA
AUGIEENTB0000375,NA,41.476034-90.557711,LP-GA
AUGIEENTB0000372,Coleomegilla maculata,41.476034-90.557711,LP-GA
AUGIEENTB0000309,harmonia axyridis,41.506216-90.553531,LP-GA
AUGIEENTB0000310,Psyllobora vigintimaculata,41.506216-90.553531,LP-GA
AUGIEENTB0000311,Psyllobora vigintimaculata,41.506216-90.553531,LP-GA
AUGIEENTB0000312,Psyllobora vigintimaculata,41.506216-90.553531,LP-GA
NO SCAN SQUISHED,NA,41.506216-90.553531,LP-GA
AUGIEENTB0000285,Coleomegilla maculata,41.54693-90.552795,LP-GA
AUGIEENTB0000286,Coleomegilla maculata,41.54693-90.552795,LP-GA
AUGIEENTB0000287,Coleomegilla maculata,41.54693-90.552795,LP-GA
AUGIEENTB0000288,Coleomegilla maculata,41.54693-90.552795,LP-GA
AUGIEENTB0000289,Coleomegilla maculata,41.54693-90.552795,LP-GA
NO SCAN SQUISHED,Coleomegilla maculata,41.54693-90.552795,LP-GA
NO SCAN SQUISHED,coleomegilla maculata,41.54693-90.552795,LP-GA
AUGIEENTB0000365,Cycloneda munda,41.492597-90.550592,LP-GA
AUGIEENTB0000364,Coleomegilla maculata,41.492597-90.550592,LP-GA
AUGIEENTB0000307,harmonia axyridis,41.510229-90.490812,LP-GA
AUGIEENTB0000308,harmonia axyridis,41.510229-90.490812,LP-GA
AUGIEENTB0000258,Harmonia axyridis,41.509708-90.640451,LP-GF
AUGIEENTB0000269,Harmonia axyridis,41.509708-90.640451,LP-GF
AUGIEENTB0000270,Brachiacantha ursina,41.509708-90.640451,LP-GF
AUGIEENTB0000271,Brachiacantha ursina,41.509708-90.640451,LP-GF
AUGIEENTB0000261,Brachiacantha ursina,41.435905-90.501557,LP-GF
AUGIEENTB0000262,Brachiacantha ursina,41.435905-90.501557,LP-GF
AUGIEENTB0000263,Brachiacantha ursina,41.435905-90.501557,LP-GF
AUGIEENTB0000264,Brachiacantha ursina,41.435905-90.501557,LP-GF
AUGIEENTB0000265,Brachiacantha ursina,41.435905-90.501557,LP-GF
AUGIEENTB0000266,Brachiacantha ursina,41.435905-90.501557,LP-GF
NO SCAN SQUISHED,NA,41.435905-90.501557,LP-GF
AUGIEENTB0000267,Brachiacantha ursina,41.435905-90.501557,LP-GF
AUGIEENTB0000268,Brachiacantha ursina,41.435905-90.501557,LP-GF
AUGIEENTB0000281,Brachiacantha ursina,41.435905-90.501557,LP-GF
AUGIEENTB0000282,Brachiacantha ursina,41.435905-90.501557,LP-GF
AUGIEENTB0000283,Brachiacantha ursina,41.435905-90.501557,LP-GF
AUGIEENTB0000284,Brachiacantha ursina,41.435905-90.501557,LP-GF
AUGIEENTB0000235,Brachiacantha ursina,41.435905-90.501557,LP-GF
AUGIEENTB0000315,cycloneda munda,41.47252-90.473754,LP-GF
AUGIEENTB0000316,cycloneda munda,41.47252-90.473754,LP-GF
AUGIEENTB0000290,Harmonia axyridis,41.50368-90.62248,LP-GM
AUGIEENTB0000291,Harmonia axyridis,41.50368-90.62248,LP-GM
NO SCAN SQUISHED,Cycloneda munda,41.50368-90.62248,LP-GM
NO SCAN SQUISHED,NA,41.50368-90.62248,LP-GM
AUGIEENTB0000253,Harminia axyridis,41.57974-90.48991,LP-GM
AUGIEENTB0000277,Hippodamia parenthesis,41.56304-90.46707,LP-GU
AUGIEENTB0000278,Hippodamia variegata,41.56304-90.46707,LP-GU
AUGIEENTB0000279,Hippodamia parenthesis,41.56304-90.46707,LP-GU
AUGIEENTB0000280,Hippodamia variegata,41.56304-90.46707,LP-GU
AUGIEENTB0000293,Hippodamia variegata,41.56304-90.46707,LP-GU
AUGIEENTB0000294,Propylea quatuordecimpunctata,41.56304-90.46707,LP-GU
AUGIEENTB0000295,Propylea quatuordecimpunctata,41.56304-90.46707,LP-GU
AUGIEENTB0000292,Coleomegilla maculata,41.537828-90.645823,LP-GU
AUGIEENTB0000296,Harmonia axyrisis,41.537828-90.645823,LP-GU
AUGIEENTB0000297,Harmonia axyrisis,41.537828-90.645823,LP-GU
AUGIEENTB0000298,Coleomegilla maculata,41.537828-90.645823,LP-GU
AUGIEENTB0000299,Harmonia axyridis,41.537828-90.645823,LP-GU
AUGIEENTB0000300,harmonia axyridis,41.537828-90.645823,LP-GU
AUGIEENTB0000301,harmonia axyridis,41.537828-90.645823,LP-GU
NO SCAN SQUISHED,NA,41.537828-90.645823,LP-GU
AUGIEENTB0000303,Propylea quatuordecimpunctata,41.537828-90.645823,LP-GU
AUGIEENTB0000302,harmonia axyridis,41.537828-90.645823,LP-GU
AUGIEENTB0000304,coleomegilla maculata,41.537828-90.645823,LP-GU
AUGIEENTB0000305,cycloneda munda,41.537828-90.645823,LP-GU
AUGIEENTB0000240,Cycloneda munda,41.56812-41.56812,LP-GU
AUGIEENTB0000344,Coleomegilla maculata,41.531584-90.414653,LP-GU
AUGIEENTB0000345,Harmonia axyridis,41.531584-90.414653,LP-GU
AUGIEENTB0000346,Harmonia axyridis,41.531584-90.414653,LP-GU
AUGIEENTB0000347,Harmonia axyridis,41.531584-90.414653,LP-GU
AUGIEENTB0000348,Harmonia axyridis,41.531584-90.414653,LP-GU
AUGIEENTB0000349,Propylea quatuordecimpunctata,41.531584-90.414653,LP-GU
AUGIEENTB0000350,Propylea quatuordecimpunctata,41.531584-90.414653,LP-GU
AUGIEENTB0000241,coccinella septempunctata,41.5677-90.52301,LP-IC
AUGIEENTB0000242,harmonia axyridis,41.5677-90.52301,LP-IC
AUGIEENTB0000243,harmonia axyridis,41.5677-90.52301,LP-IC
AUGIEENTB0000244,hippodamia parenthesis,41.5677-90.52301,LP-IC
AUGIEENTB0000245,Propylea quatuordecimpunctata,41.5677-90.52301,LP-IC
AUGIEENTB0000259,Coleomegilla maculata,41.5677-90.52301,LP-IC
AUGIEENTB0000260,Propylea quatuordecimpunctata,41.5677-90.52301,LP-IC
NO SCAN,Larvae,41.5677-90.52301,LP-IC
NO SCAN,Pupa,41.5677-90.52301,LP-IC
AUGIEENTB0000256,Colemegilla maculata,41.556505-90.57834,LP-IC
AUGIEENTB0000257,Hippodamia convergens,41.556505-90.57834,LP-IC
AUGIEENTB0000325,harmonia axyridis,41.520413-90.439069,LP-IC
AUGIEENTB0000326,harmonia axyridis,41.520413-90.439069,LP-IC
AUGIEENTB0000327,harmonia axyridis,41.520413-90.439069,LP-IC
AUGIEENTB0000328,harmonia axyridis,41.520413-90.439069,LP-IC
AUGIEENTB0000329,harmonia axyridis,41.520413-90.439069,LP-IC
AUGIEENTB0000330,harmonia axyridis,41.520413-90.439069,LP-IC
AUGIEENTB0000331,harmonia axyridis,41.520413-90.439069,LP-IC
AUGIEENTB0000332,harmonia axyridis,41.520413-90.439069,LP-IC
AUGIEENTB0000333,harmonia axyridis,41.520413-90.439069,LP-IC
AUGIEENTB0000334,harmonia axyridis,41.520413-90.439069,LP-IC
AUGIEENTB0000335,harmonia axyridis,41.520413-90.439069,LP-IC
AUGIEENTB0000336,harmonia axyridis,41.520413-90.439069,LP-IC
AUGIEENTB0000337,cycloneda munda,41.520413-90.439069,LP-IC
AUGIEENTB0000338,harmonia axyridis,41.520413-90.439069,LP-IC
AUGIEENTB0000339,harmonia axyridis,41.520413-90.439069,LP-IC
AUGIEENTB0000340,harmonia axyridis,41.520413-90.439069,LP-IC
AUGIEENTB0000341,hippodamia convergens,41.520413-90.439069,LP-IC
AUGIEENTB0000342,harmonia axyridis,41.520413-90.439069,LP-IC
AUGIEENTB0000343,harmonia axyridis,41.520413-90.439069,LP-IC
AUGIEENTB0000351,harmonia axyridis,41.520413-90.439069,LP-IC
AUGIEENTB0000352,hippodamia convergens,41.520413-90.439069,LP-IC
AUGIEENTB0000353,harmonia axyridis,41.469869-90.506684,LP-IC
AUGIEENTB0000354,harmonia axyridis,41.469869-90.506684,LP-IC
AUGIEENTB0000355,harmonia axyridis,41.469869-90.506684,LP-IC
AUGIEENTB0000356,harmonia axyridis,41.469869-90.506684,LP-IC
AUGIEENTB0000357,harmonia axyridis,41.469869-90.506684,LP-IC
AUGIEENTB0000358,harmonia axyridis,41.469869-90.506684,LP-IC
AUGIEENTB0000359,harmonia axyridis,41.469869-90.506684,LP-IC
AUGIEENTB0000360,coccinella septempunctata,41.469869-90.506684,LP-IC
AUGIEENTB0000361,coccinella septempunctata,41.469869-90.506684,LP-IC
AUGIEENTB0000362,hippodamia convergens,41.469869-90.506684,LP-IC
AUGIEENTB0000363,hippodamia parenthesis,41.469869-90.506684,LP-IC
AUGIEENTB000246,Coccinella Septempunctata,41.489621-90.635952,LP-PR
AUGIEENTB000247,Coccinella Septempunctata,41.489621-90.635952,LP-PR
AUGIEENTB000248,Harmonia axyridis,41.489621-90.635952,LP-PR
AUGIEENTB000236,Harmonia axyridis,41.489621-90.635952,LP-PR
AUGIEENTB000237,Harmonia axyridis,41.489621-90.635952,LP-PR
AUGIEENTB000238,Harmonia axyridis,41.489621-90.635952,LP-PR
AUGIEENTB000239,Harmonia axyridis,41.489621-90.635952,LP-PR
AUGIEENTB0000306,Harmonia axyridis,41.4355-90.510444,LP-PR
AUGIEENTB0000272,Coleomegilla maculata,41.567938-90.5591,LP-PR
AUGIEENTB0000273,Coleomegilla maculata,41.567938-90.5591,LP-PR
AUGIEENTB0000274,Coleomegilla maculata,41.567938-90.5591,LP-PR
AUGIEENTB0000275,Hippodamia variegata,41.567938-90.5591,LP-PR
AUGIEENTB0000276,Hippodamia covergence,41.567938-90.5591,LP-PR
AUGIEENTB0000318,harmonia axyridis,41.436864-90.552542,LP-PR
AUGIEENTB0000319,harmonia axyridis,41.436864-90.552542,LP-PR
AUGIEENTB0000320,cycloneda munda,41.436864-90.552542,LP-PR
AUGIEENTB0000321,cycloneda munda,41.436864-90.552542,LP-PR
AUGIEENTB0000322,cycloneda munda,41.436864-90.552542,LP-PR
AUGIEENTB0000323,cycloneda munda,41.436864-90.552542,LP-PR
AUGIEENTB0000324,cycloneda munda,41.436864-90.552542,LP-PR
NO SCAN,Larvae,41.436864-90.552542,LP-PR
AUGIEENTB0000313,Propylea quatuordecimpunctata,41.509388-90.491046,LP-PR
AUGIEENTB0000314,Psyllobora vigintimaculata,41.509388-90.491046,LP-PR
AUGIEENTB0000387,Cycloneda munda,41.50609-90.73943,LP-AG
AUGIEENTB0000436,Harmonia axyridis,41.428138-90.508097,LP-AG
AUGIEENTB0000437,Coleomegilla maculata,41.428138-90.508097,LP-AG
AUGIEENTB0000438,Harmonia axyridis,41.428138-90.508097,LP-AG
AUGIEENTB0000439,Harmonia axyridis,41.428138-90.508097,LP-AG
AUGIEENTB0000440,Coleomegilla maculata,41.428138-90.508097,LP-AG
AUGIEENTB0000448,Cycloneda munda,40.506216-90.553531,LP-GA
AUGIEENTB0000501,Cycloneda munda,40.506216-90.553531,LP-GA
AUGIEENTB0000449,Psyllobora vigintimaculata,40.506216-90.553531,LP-GA
AUGIEENTB0000503,Psyllobora vigintimaculata,40.506216-90.553531,LP-GA
AUGIEENTB0000504,Psyllobora vigintimaculata,40.506216-90.553531,LP-GA
AUGIEENTB0000502,Psyllobora vigintimaculata,40.506216-90.553531,LP-GA
AUGIEENTB0000416,Harmonia axyridis,41.54693-90.552795,LP-GA
AUGIEENTB0000417,Harmonia axyridis,41.54693-90.552795,LP-GA
AUGIEENTB0000418,Harmonia axyridis,41.54693-90.552795,LP-GA
AUGIEENTB0000419,Harmonia axyridis,41.54693-90.552795,LP-GA
AUGIEENTB0000420,Harmonia axyridis,41.54693-90.552795,LP-GA
AUGIEENTB0000421,Harmonia axyridis,41.54693-90.552795,LP-GA
AUGIEENTB0000517,Harmonia axyridis,41.492597-90.550592,LP-GA
NA,Harmonia axyridis,41.492597-90.550592,LP-GA
NA,Harmonia axyridis,41.492597-90.550592,LP-GA
NA,Harmonia axyridis,41.492597-90.550592,LP-GA
AUGIEENTB0000441,Coleomegilla maculata,41.510229-90.490812,LP-GA
AUGIEENTB0000505,Coleomegilla maculata,41.510229-90.490812,LP-GA
AUGIEENTB0000442,Psyllobora vigintimaculata,41.510229-90.490812,LP-GA
AUGIEENTB0000506,Psyllobora vigintimaculata,41.510229-90.490812,LP-GA
AUGIEENTB0000415,Psyllobora vigintimaculata,41.55032-90.45992,LP-GF
AUGIEENTB0000392,Brachiacantha ursina,41.509708-90.640451,LP-GF
AUGIEENTB0000393,Brachiacantha ursina,41.509708-90.640451,LP-GF
AUGIEENTB0000394,Brachiacantha ursina,41.509708-90.640451,LP-GF
AUGIEENTB0000395,Brachiacantha ursina,41.435905-90.501557,LP-GF
AUGIEENTB0000388,Psyllobora vigintimaculata,41.550606-90.62248,LP-GM
AUGIEENTB0000389,Psyllobora vigintimaculata,41.550606-90.62248,LP-GM
AUGIEENTB0000409,Harmonia axyridis,41.57974-90.48991,LP-GM
AUGIEENTB0000410,Harmonia axyridis,41.57974-90.48991,LP-GM
AUGIEENTB0000411,Harmonia axyridis,41.57974-90.48991,LP-GM
AUGIEENTB0000412,Harmonia axyridis,41.57974-90.48991,LP-GM
AUGIEENTB0000413,Harmonia axyridis,41.57974-90.48991,LP-GM
AUGIEENTB0000414,Harmonia axyridis,41.57974-90.48991,LP-GM
AUGIEENTB0000455,Hyperaspis undulata,41.50206-90.45157,LP-GM
NO SCAN SQUISHED,Cycloneda munda,41.50206-90.45157,LP-GM
AUGIEENTB0000422,Harmonia axyridis,41.56304-90.46707,LP-GU
AUGIEENTB0000423,Cycloneda munda,41.56304-90.46707,LP-GU
AUGIEENTB0000424,Coleomegilla maculata,41.56304-90.46707,LP-GU
AUGIEENTB0000396,Harmonia axyridis,41.537828-90.645823,LP-GU
AUGIEENTB0000397,Harmonia axyridis,41.537828-90.645823,LP-GU
AUGIEENTB0000398,Harmonia axyridis,41.537828-90.645823,LP-GU
AUGIEENTB0000399,Harmonia axyridis,41.537828-90.645823,LP-GU
AUGIEENTB0000400,Harmonia axyridis,41.537828-90.645823,LP-GU
AUGIEENTB0000401,Harmonia axyridis,41.537828-90.645823,LP-GU
AUGIEENTB0000402,Harmonia axyridis,41.537828-90.645823,LP-GU
AUGIEENTB0000403,Harmonia axyridis,41.537828-90.645823,LP-GU
AUGIEENTB0000404,NA,41.537828-90.645823,LP-GU
AUGIEENTB0000405,Harmonia axyridis,41.537828-90.645823,LP-GU
AUGIEENTB0000406,Harmonia axyridis,41.537828-90.645823,LP-GU
AUGIEENTB0000407,Harmonia axyridis,41.537828-90.645823,LP-GU
AUGIEENTB0000408,Harmonia axyridis,41.537828-90.645823,LP-GU
AUGIEENTB0000376,Coccinella septempunctata,41.56812-90.57119,LP-GU
AUGIEENTB0000377,Coccinella septempunctata,41.56812-90.57119,LP-GU
AUGIEENTB0000378,Harmonia axyridis,41.56812-90.57119,LP-GU
AUGIEENTB0000379,Hippodamia parenthesis,41.56812-90.57119,LP-GU
AUGIEENTB0000450,Harmonia axyridis,41.531584-90.414653,LP-GU
AUGIEENTB0000451,Harmonia axyridis,41.463906-90.537662,LP-GU
AUGIEENTB0000380,Propylea quatuordecimpunctata,41.5677-90.52301,LP-IC
AUGIEENTB0000381,Propylea quatuordecimpunctata,41.5677-90.52301,LP-IC
AUGIEENTB0000382,Cycloneda munda,41.5677-90.52301,LP-IC
AUGIEENTB0000383,Cycloneda munda,41.5677-90.52301,LP-IC
AUGIEENTB0000384,Cycloneda munda,41.5677-90.52301,LP-IC
AUGIEENTB0000385,Coleomegilla maculata,41.5677-90.52301,LP-IC
AUGIEENTB0000386,Propylea quatuordecimpunctata,41.5677-90.52301,LP-IC
AUGIEENTB0000390,Hippodamia convergens,41.556505-90.57834,LP-IC
AUGIEENTB0000391,Coleomegilla maculata,41.556505-90.57834,LP-IC
AUGIEENTB0000433,Harmonia axyridis,41.56812-90.57119,LP-IC
NA,Harmonia axyridis,41.56812-90.57119,LP-IC
NA,Harmonia axyridis,41.56812-90.57119,LP-IC
NA,Harmonia axyridis,41.56812-90.57119,LP-IC
NA,Harmonia axyridis,41.56812-90.57119,LP-IC
NA,Harmonia axyridis,41.56812-90.57119,LP-IC
NA,Harmonia axyridis,41.56812-90.57119,LP-IC
NA,Harmonia axyridis,41.56812-90.57119,LP-IC
NA,Harmonia axyridis,41.56812-90.57119,LP-IC
NA,Harmonia axyridis,41.56812-90.57119,LP-IC
NA,Harmonia axyridis,41.56812-90.57119,LP-IC
NA,Harmonia axyridis,41.56812-90.57119,LP-IC
AUGIEENTB0000434,Hippodamia parenthesis,41.56812-90.57119,LP-IC
AUGIEENTB0000435,Harmonia axyridis,41.469869-90.506684,LP-IC
NA,Harmonia axyridis,41.469869-90.506684,LP-IC
NA,Harmonia axyridis,41.469869-90.506684,LP-IC
NA,Harmonia axyridis,41.469869-90.506684,LP-IC
NA,Harmonia axyridis,41.469869-90.506684,LP-IC
NA,Harmonia axyridis,41.469869-90.506684,LP-IC
NA,Harmonia axyridis,41.469869-90.506684,LP-IC
NA,Harmonia axyridis,41.469869-90.506684,LP-IC
NA,Harmonia axyridis,41.469869-90.506684,LP-IC
NA,Harmonia axyridis,41.469869-90.506684,LP-IC
NA,Harmonia axyridis,41.469869-90.506684,LP-IC
NA,Harmonia axyridis,41.469869-90.506684,LP-IC
NA,Harmonia axyridis,41.469869-90.506684,LP-IC
NA,Harmonia axyridis,41.469869-90.506684,LP-IC
NA,Harmonia axyridis,41.469869-90.506684,LP-IC
NA,Harmonia axyridis,41.469869-90.506684,LP-IC
NA,Harmonia axyridis,41.469869-90.506684,LP-IC
NA,Harmonia axyridis,41.469869-90.506684,LP-IC
NA,Harmonia axyridis,41.469869-90.506684,LP-IC
NA,Harmonia axyridis,41.469869-90.506684,LP-IC
NA,Harmonia axyridis,41.469869-90.506684,LP-IC
NA,Harmonia axyridis,41.469869-90.506684,LP-IC
NA,Harmonia axyridis,41.469869-90.506684,LP-IC
NA,Harmonia axyridis,41.469869-90.506684,LP-IC
NA,Harmonia axyridis,41.469869-90.506684,LP-IC
NA,Harmonia axyridis,41.469869-90.506684,LP-IC
NA,Harmonia axyridis,41.469869-90.506684,LP-IC
NA,Harmonia axyridis,41.469869-90.506684,LP-IC
AUGIEENTB0000425,Coccinella septempunctata,41.489621-90.635952,LP-PR
AUGIEENTB0000426,Harmonia axyridis,41.489621-90.635952,LP-PR
AUGIEENTB0000427,Harmonia axyridis,41.489621-90.635952,LP-PR
AUGIEENTB0000428,Coccinella septempunctata,41.489621-90.635952,LP-PR
AUGIEENTB0000429,Cycloneda munda,41.489621-90.635952,LP-PR
AUGIEENTB0000430,Harmonia axyridis,41.489621-90.635952,LP-PR
AUGIEENTB0000431,Cycloneda munda,41.489621-90.635952,LP-PR
AUGIEENTB0000432,Cycloneda munda,41.489621-90.635952,LP-PR
NO SCAN SQUISHED,Harmonia axyridis,41.489621-90.635952,LP-PR
NO SCAN SQUISHED,Harmonia parenthesis,41.489621-90.635952,LP-PR
NO SCAN SQUISHED,Cycloneda munda,41.436864-90.552542,LP-PR
AUGIEENTB0000452,Harmonia axyridis,41.436864-90.552542,LP-PR
NA,Harmonia axyridis,41.436864-90.552542,LP-PR
AUGIEENTB0000453,Cycloneda munda,41.436864-90.552542,LP-PR
AUGIEENTB0000507,Cycloneda munda,41.436864-90.552542,LP-PR
AUGIEENTB0000511,Cycloneda munda,41.436864-90.552542,LP-PR
AUGIEENTB0000454,Propylea quatuordecimpuncata,41.436864-90.552542,LP-PR
AUGIEENTB0000508,Cycloneda munda,41.436864-90.552542,LP-PR
AUGIEENTB0000509,Cycloneda munda,41.436864-90.552542,LP-PR
AUGIEENTB0000510,cycloneda munda,41.436864-90.552542,LP-PR
AUGIEENTB0000443,Cycloneda munda,41.509388-90.491046,LP-PR
AUGIEENTB0000515,Cycloneda munda,41.509388-90.491046,LP-PR
AUGIEENTB0000514,Cycloneda munda,41.509388-90.491046,LP-PR
AUGIEENTB0000444,Harmonia axyridis,41.509388-90.491046,LP-PR
AUGIEENTB0000445,Coleomegilla maculata,41.509388-90.491046,LP-PR
AUGIEENTB0000447,Psyllobora vigintimaculata,41.509388-90.491046,LP-PR
AUGIEENTB0000512,Psyllobora vigintimaculata,41.509388-90.491046,LP-PR
NO SCAN SQUISHED,Cycloneda munda,41.509388-90.491046,LP-PR
AUGIEENTB0000513,Psyllobora vigintimaculata,41.509388-90.491046,LP-PR
